chrom,start,end,label
1,1232478,1233502,1
X,107639301,107640325,1
10,112439562,112440586,0
1,151294513,151295537,1
5,114473072,114474096,1
19,32864733,32865757,1
2,189006373,189007397,1
14,19868755,19869779,0
20,16748493,16749517,0
1,186393987,186395011,0
10,133230505,133231529,0
7,140527493,140528517,0
X,38403694,38404718,1
5,179555664,179556688,0
X,154032259,154033283,1
1,7249591,7250615,1
19,35359120,35360144,0
10,29495143,29496167,0
1,229431584,229432608,1
2,240786422,240787446,1
1,216324240,216325264,1
10,102835316,102836340,1
20,63444738,63445762,1
8,142786489,142787513,0
12,47977373,47978397,1
5,177269730,177270754,1
11,4023928,4024952,1
6,31411200,31412224,0
15,48448880,48449904,1
10,62805132,62806156,0
22,46263246,46264270,0
22,39044144,39045168,0
7,101033998,101035022,0
9,96254906,96255930,1
16,31079086,31080110,0
19,39269795,39270819,0
6,3438504,3439528,0
15,34342123,34343147,0
21,31667337,31668361,1
3,108920537,108921561,0
19,41125811,41126835,0
1,167896633,167897657,0
1,11776625,11777649,0
12,4911908,4912932,1
1,117973459,117974483,0
19,15741553,15742577,0
2,178571293,178572317,0
7,94409350,94410374,1
19,45352801,45353825,1
19,38452916,38453940,1
X,49251711,49252735,1
6,32584367,32585391,0
17,41968123,41969147,1
1,94046967,94047991,1
13,113117504,113118528,1
15,72346278,72347302,1
11,65039763,65040787,0
6,42704529,42705553,1
14,21155131,21156155,0
4,55425387,55426411,1
8,143772435,143773459,0
10,102832532,102833556,1
12,52519789,52520813,1
2,97091610,97092634,0
1,84182252,84183276,1
21,31667335,31668359,1
6,160073377,160074401,0
2,27578536,27579560,0
6,32522136,32523160,0
10,133198925,133199949,0
17,41586404,41587428,1
14,73170983,73172007,1
10,122336546,122337570,0
7,5529397,5530421,1
1,40831156,40832180,0
3,49022146,49023170,1
2,238081747,238082771,0
7,22493563,22494587,0
22,41178373,41179397,1
4,158706682,158707706,1
22,50117257,50118281,0
6,150389520,150390544,1
1,94111557,94112581,1
9,18777198,18778222,0
X,54467797,54468821,1
22,46260051,46261075,0
7,149730319,149731343,0
9,70318858,70319882,0
19,42878216,42879240,0
20,20164128,20165152,0
8,144512433,144513457,0
X,35802678,35803702,0
9,66924242,66925266,0
21,31663854,31664878,1
16,67270780,67271804,1
9,122800933,122801957,0
3,98312438,98313462,0
1,152220079,152221103,0
8,93758559,93759583,1
7,44153382,44154406,1
5,180950018,180951042,0
9,136253800,136254824,0
2,165991831,165992855,1
2,48963476,48964500,1
14,20693973,20694997,1
12,52291429,52292453,0
1,11997315,11998339,1
10,5000649,5001673,1
17,44321434,44322458,0
19,8975282,8976306,0
20,10405411,10406435,0
X,75065162,75066186,0
2,240017826,240018850,0
X,108603027,108604051,1
15,48496150,48497174,1
14,104942474,104943498,0
X,154904049,154905073,1
7,5528281,5529305,1
22,41527346,41528370,1
2,232340890,232341914,0
19,21143555,21144579,0
9,70350192,70351216,1
6,87284854,87285878,0
12,51919117,51920141,1
17,50195601,50196625,1
2,188990317,188991341,1
19,53109504,53110528,0
5,177288837,177289861,1
14,37622821,37623845,0
1,169552615,169553639,0
4,158706302,158707326,1
X,74524672,74525696,1
5,75596275,75597299,1
18,31598581,31599605,1
17,80112664,80113688,1
12,21462862,21463886,1
13,20189542,20190566,1
17,40981135,40982159,0
11,82732630,82733654,0
11,64805132,64806156,1
17,43049164,43050188,1
7,117603719,117604743,1
11,5342867,5343891,0
17,41612318,41613342,1
X,154837702,154838726,1
17,81935117,81936141,1
6,31715380,31716404,0
19,34684687,34685711,0
3,181712498,181713522,1
6,151573205,151574229,0
19,39886269,39887293,0
19,8964274,8965298,0
X,153774047,153775071,0
2,113246854,113247878,1
2,202467638,202468662,1
19,54242117,54243141,0
18,23953109,23954133,1
19,38469069,38470093,1
16,31464666,31465690,1
3,52763618,52764642,0
15,42360096,42361120,1
7,64831609,64832633,0
19,12430718,12431742,0
1,155310373,155311397,0
X,108695409,108696433,1
14,23563818,23564842,0
15,42401751,42402775,1
3,128486108,128487132,0
6,32757848,32758872,0
17,50186429,50187453,1
1,207616743,207617767,0
1,78119402,78120426,0
12,48330001,48331025,0
11,113690332,113691356,0
14,58139072,58140096,0
13,23593366,23594390,0
10,119169326,119170350,1
2,151496329,151497353,0
11,64810108,64811132,1
3,48572942,48573966,1
19,32859857,32860881,1
18,23541388,23542412,1
19,41342215,41343239,1
1,3512044,3513068,0
11,124382526,124383550,0
6,131709826,131710850,0
19,47802394,47803418,0
19,46608981,46610005,1
17,50191462,50192486,1
