chrom,start,end
1,247642618,247643642
1,69466574,69467598
1,110457427,110458451
1,239295415,239296439
1,41911766,41912790
1,185153693,185154717
1,17437765,17438789
1,120326286,120327310
1,6331995,6333019
1,164439535,164440559
1,157426124,157427148
1,184967366,184968390
1,31335230,31336254
1,7707958,7708982
1,226277000,226278024
1,111501118,111502142
1,169936481,169937505
1,139948870,139949894
1,196572129,196573153
1,213206470,213207494
1,96266894,96267918
1,127884657,127885681
1,114180909,114181933
1,113311027,113312051
1,16050635,16051659
1,72768700,72769724
1,183750909,183751933
1,171330481,171331505
1,164079239,164080263
1,111423911,111424935
1,218194153,218195177
1,153558875,153559899
1,236786197,236787221
1,151571771,151572795
1,130725014,130726038
1,39511870,39512894
1,129991177,129992201
1,221863466,221864490
1,110568784,110569808
1,35323565,35324589
1,193127668,193128692
1,11145705,11146729
1,189685365,189686389
1,3475061,3476085
1,66618174,66619198
1,164532469,164533493
1,25941276,25942300
1,72795108,72796132
1,199514422,199515446
1,173521163,173522187
1,166289810,166290834
1,37177981,37179005
1,83889044,83890068
1,18686120,18687144
1,58701498,58702522
1,120988565,120989589
1,210068195,210069219
1,167500950,167501974
1,239791606,239792630
1,201765395,201766419
1,171487153,171488177
1,16572354,16573378
1,98052167,98053191
1,119902942,119903966
1,81198119,81199143
1,35430482,35431506
1,174768351,174769375
1,146226500,146227524
1,67725418,67726442
1,147307767,147308791
1,150483933,150484957
1,148325050,148326074
1,83310534,83311558
1,158707993,158709017
1,90872688,90873712
1,58107439,58108463
1,191067744,191068768
1,23212556,23213580
1,135333616,135334640
1,237055201,237056225
1,173413561,173414585
1,107544223,107545247
1,147526426,147527450
1,13916591,13917615
1,203857733,203858757
1,69132794,69133818
1,172245078,172246102
1,242813992,242815016
1,35042276,35043300
1,203409579,203410603
1,35185926,35186950
1,224845700,224846724
1,162043085,162044109
1,207768373,207769397
1,46634244,46635268
1,103070250,103071274
1,161932744,161933768
1,226333608,226334632
1,118431024,118432048
1,175201586,175202610
1,169505363,169506387
1,246938525,246939549
1,204197810,204198834
1,3287151,3288175
1,212020539,212021563
1,44535451,44536475
1,9810595,9811619
1,126563976,126565000
1,99232285,99233309
1,206277574,206278598
1,100737582,100738606
1,48426338,48427362
1,210355344,210356368
1,67357352,67358376
1,68594355,68595379
1,62517675,62518699
1,204107354,204108378
1,101389777,101390801
1,15654823,15655847
1,79073492,79074516
1,111022730,111023754
1,34418632,34419656
1,161879245,161880269
1,138338507,138339531
1,212554604,212555628
1,139680572,139681596
1,30403870,30404894
1,236532752,236533776
1,244168208,244169232
1,15141125,15142149
1,153487506,153488530
1,94479648,94480672
1,198155313,198156337
1,186257056,186258080
1,83414533,83415557
1,157338,158362
1,233976660,233977684
1,171668706,171669730
1,107538356,107539380
1,209572613,209573637
1,95956125,95957149
1,178364810,178365834
1,9200825,9201849
1,184471295,184472319
1,104736638,104737662
1,88585148,88586172
1,138710391,138711415
1,162336781,162337805
1,10168041,10169065
1,130229055,130230079
1,119491815,119492839
1,76803694,76804718
1,124224283,124225307
1,149440026,149441050
1,120349460,120350484
1,167102054,167103078
1,205503719,205504743
1,97195017,97196041
1,109597499,109598523
1,244636951,244637975
1,34723538,34724562
1,176672698,176673722
1,158451975,158452999
1,218623198,218624222
1,216119352,216120376
1,147204691,147205715
1,21704731,21705755
1,180566354,180567378
1,76652626,76653650
1,246369955,246370979
1,36055116,36056140
1,238448125,238449149
1,146192519,146193543
1,54316392,54317416
1,58379586,58380610
1,244234429,244235453
1,96866566,96867590
1,168288875,168289899
1,165310819,165311843
1,129158110,129159134
1,245194056,245195080
1,253144,254168
1,152157683,152158707
1,19421473,19422497
1,129086688,129087712
1,198675247,198676271
1,62770645,62771669
1,93354820,93355844
1,15403707,15404731
1,28792898,28793922
1,89370181,89371205
1,135979124,135980148
1,168000844,168001868
1,139936875,139937899
1,54144559,54145583
1,26570558,26571582
1,122746670,122747694
1,125558202,125559226
1,152757508,152758532
1,47179686,47180710
1,238370113,238371137
1,83388285,83389309
1,47264748,47265772
1,9474243,9475267
1,119322380,119323404
1,219338613,219339637
1,158813847,158814871
1,120073471,120074495
1,86168406,86169430
1,119564871,119565895
1,95719368,95720392
1,142939509,142940533
1,22207178,22208202
1,38112797,38113821
1,210255318,210256342
1,155867132,155868156
1,226908597,226909621
1,60516181,60517205
1,232944416,232945440
1,61542203,61543227
1,59918642,59919666
1,199550840,199551864
1,8635153,8636177
1,218979755,218980779
1,206088575,206089599
1,20460351,20461375
1,62855761,62856785
1,184985478,184986502
1,106904529,106905553
1,182329657,182330681
1,71245210,71246234
1,34673898,34674922
1,198608257,198609281
1,202349449,202350473
1,4990108,4991132
1,137188508,137189532
1,179111524,179112548
1,14436985,14438009
1,6563862,6564886
1,240669496,240670520
1,235677461,235678485
1,67286246,67287270
1,199848731,199849755
1,74312365,74313389
1,20316544,20317568
1,104232348,104233372
1,77505725,77506749
1,130887430,130888454
1,102196486,102197510
1,108407303,108408327
1,192533968,192534992
1,178165786,178166810
1,132116270,132117294
1,198506468,198507492
1,120688081,120689105
1,22276236,22277260
1,173017181,173018205
1,25120175,25121199
1,239925037,239926061
1,122644125,122645149
1,216934324,216935348
1,33345435,33346459
1,228526057,228527081
1,20634931,20635955
1,209121450,209122474
1,190049616,190050640
1,67421134,67422158
1,194603645,194604669
1,103435672,103436696
1,60181506,60182530
1,170513205,170514229
1,79662995,79664019
1,27793072,27794096
1,77456637,77457661
1,216629966,216630990
1,11299801,11300825
1,239486293,239487317
1,136039218,136040242
1,116394764,116395788
1,203737897,203738921
1,224160609,224161633
1,189515855,189516879
1,72291323,72292347
1,235906906,235907930
1,87786663,87787687
1,1363708,1364732
1,111515536,111516560
1,167809043,167810067
1,103002152,103003176
1,59724287,59725311
1,55366127,55367151
1,102867971,102868995
1,226269878,226270902
1,215247256,215248280
1,127734917,127735941
1,144352103,144353127
1,168951952,168952976
1,60100237,60101261
1,182702546,182703570
1,12087480,12088504
1,164314008,164315032
1,226342762,226343786
1,21545170,21546194
1,72686718,72687742
1,32278955,32279979
1,48694167,48695191
1,150127843,150128867
1,6987500,6988524
1,84873687,84874711
1,119110495,119111519
1,110052122,110053146
1,10197379,10198403
1,226280435,226281459
1,233650886,233651910
1,203081045,203082069
1,123306160,123307184
1,8163512,8164536
1,30464921,30465945
1,92386854,92387878
1,144432946,144433970
1,229150646,229151670
1,12389744,12390768
1,187019862,187020886
1,116514943,116515967
1,91906299,91907323
1,214377016,214378040
1,211717940,211718964
1,26656771,26657795
1,132611413,132612437
1,172244108,172245132
1,162513097,162514121
1,92029127,92030151
1,70905884,70906908
1,152762360,152763384
1,133366955,133367979
1,139334025,139335049
1,15897737,15898761
1,170304009,170305033
1,49959971,49960995
1,115764150,115765174
1,106993932,106994956
1,143288717,143289741
1,102464265,102465289
1,36986643,36987667
1,167879453,167880477
1,84592391,84593415
1,239336022,239337046
1,168517656,168518680
1,122881943,122882967
1,84509422,84510446
1,236558548,236559572
1,246351576,246352600
1,57571787,57572811
1,197129878,197130902
1,61654122,61655146
1,141314316,141315340
1,167162410,167163434
1,34094783,34095807
1,248452226,248453250
1,2226312,2227336
1,167794131,167795155
1,54961381,54962405
1,69366157,69367181
1,89334947,89335971
1,85195555,85196579
1,197789310,197790334
1,97383043,97384067
1,63635622,63636646
1,105239976,105241000
1,196903455,196904479
1,51122289,51123313
1,177128138,177129162
1,229416522,229417546
1,172803372,172804396
1,101836809,101837833
1,155292882,155293906
1,8218863,8219887
1,106653764,106654788
1,111177970,111178994
1,158873079,158874103
1,104457946,104458970
1,135352664,135353688
1,73282890,73283914
1,132143994,132145018
1,26109870,26110894
1,13573941,13574965
1,205409097,205410121
1,29323496,29324520
1,145953952,145954976
1,198803426,198804450
1,49317175,49318199
1,247064419,247065443
1,147190933,147191957
1,33857624,33858648
1,1299733,1300757
1,174802215,174803239
1,180871716,180872740
1,110320535,110321559
1,124213142,124214166
1,169563162,169564186
1,27761819,27762843
1,131569532,131570556
1,76722707,76723731
1,37526113,37527137
1,51203228,51204252
1,244796154,244797178
1,71699167,71700191
1,244076588,244077612
1,228160417,228161441
1,138067841,138068865
1,121722020,121723044
1,180504555,180505579
1,247259402,247260426
1,55183355,55184379
1,177841605,177842629
1,204106368,204107392
1,43905927,43906951
1,109484863,109485887
1,209645067,209646091
1,1582503,1583527
1,60240733,60241757
1,84260238,84261262
1,22367148,22368172
1,31365726,31366750
1,243170190,243171214
1,35609985,35611009
1,190311751,190312775
1,98043129,98044153
1,206371751,206372775
1,137027515,137028539
1,115470241,115471265
1,213795524,213796548
1,145205844,145206868
1,141742159,141743183
1,220711175,220712199
1,54696170,54697194
1,82168735,82169759
1,148187325,148188349
1,116051235,116052259
1,52071203,52072227
1,54358601,54359625
1,64400855,64401879
1,118961052,118962076
1,137986685,137987709
1,15819338,15820362
1,192168085,192169109
1,13292747,13293771
1,77507022,77508046
1,108698278,108699302
1,74562579,74563603
1,118295510,118296534
1,83121214,83122238
1,235042070,235043094
1,139672628,139673652
1,78243190,78244214
1,128925787,128926811
1,16015434,16016458
1,39893857,39894881
1,205030700,205031724
1,76263212,76264236
1,137776883,137777907
1,91589551,91590575
1,136465443,136466467
1,234550279,234551303
1,193385243,193386267
1,39635530,39636554
1,127571037,127572061
1,34549337,34550361
1,192351154,192352178
1,189970061,189971085
1,57456755,57457779
1,115339980,115341004
1,104732523,104733547
1,212621961,212622985
1,113396903,113397927
1,204759396,204760420
1,190067841,190068865
1,148793894,148794918
1,162720873,162721897
1,90800140,90801164
1,140626131,140627155
1,26251004,26252028
1,51635401,51636425
1,89431562,89432586
1,167116271,167117295
1,92026588,92027612
1,24889277,24890301
1,211035064,211036088
1,22272920,22273944
1,247502021,247503045
1,79675801,79676825
1,196513685,196514709
1,100888703,100889727
1,183504410,183505434
1,168900650,168901674
1,151361910,151362934
1,182355452,182356476
1,71819931,71820955
1,90116430,90117454
1,128249204,128250228
1,228327115,228328139
1,207026993,207028017
1,18699984,18701008
1,3178250,3179274
1,167545246,167546270
1,171860357,171861381
1,240045899,240046923
1,125632139,125633163
1,160793444,160794468
1,155138074,155139098
1,69559569,69560593
1,22560745,22561769
1,133173621,133174645
1,180510561,180511585
1,131413219,131414243
1,31711422,31712446
1,173548172,173549196
1,236346106,236347130
1,12035595,12036619
1,145126862,145127886
1,144419691,144420715
1,38632173,38633197
1,52370087,52371111
1,125360700,125361724
1,122142933,122143957
1,137286192,137287216
1,206501812,206502836
1,199586273,199587297
1,20951882,20952906
1,101043014,101044038
1,65008837,65009861
1,150237486,150238510
1,172951749,172952773
1,214750116,214751140
1,245366995,245368019
1,135217244,135218268
1,108626788,108627812
1,175674321,175675345
1,82647509,82648533
1,130700072,130701096
1,44150687,44151711
1,118414585,118415609
1,134227841,134228865
1,202219227,202220251
1,13408581,13409605
1,220256856,220257880
1,11961388,11962412
1,230633619,230634643
1,211316487,211317511
1,217942294,217943318
1,81456292,81457316
1,36087583,36088607
1,129868911,129869935
1,110253437,110254461
1,124261448,124262472
1,233299084,233300108
1,28578952,28579976
1,200537841,200538865
1,34707604,34708628
1,82146990,82148014
1,52191676,52192700
1,67102850,67103874
1,105284732,105285756
1,176413807,176414831
1,191840764,191841788
1,240480319,240481343
1,158460725,158461749
1,185320801,185321825
1,92276317,92277341
1,126864078,126865102
1,203894286,203895310
1,12496716,12497740
1,85112360,85113384
1,63431611,63432635
1,36227480,36228504
1,178659461,178660485
1,95352691,95353715
1,43382561,43383585
1,129700824,129701848
1,195027365,195028389
1,58900498,58901522
1,66487846,66488870
1,147249229,147250253
1,200507471,200508495
1,64087062,64088086
1,109949890,109950914
1,192383779,192384803
1,190595763,190596787
1,51328328,51329352
1,39553230,39554254
1,104317925,104318949
1,195591335,195592359
1,110783258,110784282
1,47976401,47977425
1,92188012,92189036
1,224919350,224920374
1,20406225,20407249
1,244578738,244579762
1,243837960,243838984
1,143954259,143955283
1,64949310,64950334
1,31444626,31445650
1,114067510,114068534
1,137975068,137976092
1,222132129,222133153
1,59071348,59072372
1,49456780,49457804
1,241741064,241742088
1,19207163,19208187
1,14836874,14837898
1,164745845,164746869
1,230115897,230116921
1,2508768,2509792
1,134725796,134726820
1,149963831,149964855
1,44990639,44991663
1,242754018,242755042
1,184419873,184420897
1,125191310,125192334
1,172730629,172731653
1,76688806,76689830
1,40023485,40024509
1,100087026,100088050
1,196754695,196755719
1,5756837,5757861
1,37755984,37757008
1,112726737,112727761
1,133599706,133600730
1,26740086,26741110
1,210149653,210150677
1,47117808,47118832
1,185942297,185943321
1,35113855,35114879
1,242741642,242742666
1,39805392,39806416
1,21168389,21169413
1,151247760,151248784
1,167317955,167318979
1,59631275,59632299
1,238604996,238606020
1,128927583,128928607
1,90919251,90920275
1,82533617,82534641
1,169364860,169365884
1,48338863,48339887
1,245923503,245924527
1,66193191,66194215
1,21764780,21765804
1,227069143,227070167
1,226454548,226455572
1,52560166,52561190
1,248725646,248726670
1,244869592,244870616
1,137309150,137310174
1,74865893,74866917
1,181207300,181208324
1,232440566,232441590
1,56142577,56143601
1,206283262,206284286
1,233911900,233912924
1,243869810,243870834
1,89250858,89251882
1,107482950,107483974
1,54221880,54222904
1,154485081,154486105
1,136212571,136213595
1,233280216,233281240
1,108722264,108723288
1,123198171,123199195
1,36713790,36714814
1,188007018,188008042
1,123034085,123035109
1,60089736,60090760
1,52830392,52831416
1,153209499,153210523
1,145398656,145399680
1,10877223,10878247
1,146453755,146454779
1,479257,480281
1,247495442,247496466
