chrom,start,end
1,22816470,22816982
1,49682868,49683380
1,117067207,117067719
1,43364394,43364906
1,47653999,47654511
1,52900318,52900830
1,32740040,32740552
1,38748865,38749377
1,196382955,196383467
1,109324477,109324989
1,185534857,185535369
1,122365522,122366034
1,180813707,180814219
1,98047869,98048381
1,246722417,246722929
1,139600704,139601216
1,172965696,172966208
1,1154588,1155100
1,42107762,42108274
1,241623959,241624471
1,83597409,83597921
1,114859725,114860237
1,176403511,176404023
1,72010961,72011473
1,223237769,223238281
1,11208646,11209158
1,115516368,115516880
1,48912228,48912740
1,220931661,220932173
1,69628232,69628744
1,197811180,197811692
1,65053268,65053780
1,28806091,28806603
1,71083618,71084130
1,198281925,198282437
1,197820022,197820534
1,57180706,57181218
1,182776408,182776920
1,178824924,178825436
1,103694693,103695205
1,35047050,35047562
1,235062294,235062806
1,148174341,148174853
1,199644220,199644732
1,213957215,213957727
1,76195798,76196310
1,237790189,237790701
1,113841918,113842430
1,247993472,247993984
1,889704,890216
1,144400616,144401128
1,171856934,171857446
1,36052678,36053190
1,61573477,61573989
1,35230523,35231035
1,99558762,99559274
1,227909695,227910207
1,112453526,112454038
1,238646956,238647468
1,142180798,142181310
1,23957297,23957809
1,224914648,224915160
1,152034297,152034809
1,231897306,231897818
1,79684243,79684755
1,73409814,73410326
1,208184531,208185043
1,190275679,190276191
1,209154373,209154885
1,184083414,184083926
1,153277337,153277849
1,41269721,41270233
1,233400515,233401027
1,168255100,168255612
1,115666485,115666997
1,209831828,209832340
1,22517087,22517599
1,14478967,14479479
1,189784245,189784757
1,190893999,190894511
1,233473382,233473894
1,154532073,154532585
1,222935900,222936412
1,53235577,53236089
1,213685268,213685780
1,95471059,95471571
1,15274726,15275238
1,10829732,10830244
1,210695106,210695618
1,20237275,20237787
1,51414147,51414659
1,40383196,40383708
1,212547074,212547586
1,145271025,145271537
1,87416396,87416908
1,24705752,24706264
1,226217646,226218158
1,242980159,242980671
1,197410809,197411321
1,119447351,119447863
1,134564778,134565290
1,209633311,209633823
1,213533904,213534416
1,213447401,213447913
1,141512921,141513433
1,232574724,232575236
1,191870203,191870715
1,29387886,29388398
1,235427342,235427854
1,77973901,77974413
1,134762331,134762843
1,140333923,140334435
1,87514753,87515265
1,4998606,4999118
1,82055491,82056003
1,120641215,120641727
1,101984335,101984847
1,148844254,148844766
1,220744000,220744512
1,217715680,217716192
1,49558771,49559283
1,92065868,92066380
1,72112980,72113492
1,94029950,94030462
1,170389237,170389749
1,131730161,131730673
1,197768039,197768551
1,17108269,17108781
1,166633065,166633577
1,118418194,118418706
1,173884591,173885103
1,134008254,134008766
1,78109886,78110398
1,42427630,42428142
1,90942400,90942912
1,36638062,36638574
1,5131738,5132250
1,148023729,148024241
1,82068459,82068971
1,230605620,230606132
1,34535267,34535779
1,66245865,66246377
1,165320864,165321376
1,205569187,205569699
1,169241482,169241994
1,101214540,101215052
1,108319442,108319954
1,148931957,148932469
1,127820730,127821242
1,77946260,77946772
1,161864763,161865275
1,225391877,225392389
1,126619213,126619725
1,131296166,131296678
1,34175043,34175555
1,49390878,49391390
1,189519758,189520270
1,60814197,60814709
1,83387437,83387949
1,101137838,101138350
1,95841685,95842197
1,178370330,178370842
1,105297352,105297864
1,152943987,152944499
1,154977059,154977571
1,44058469,44058981
1,211084161,211084673
1,201635189,201635701
1,140395460,140395972
1,141016442,141016954
1,17314463,17314975
1,234962725,234963237
1,111460358,111460870
1,47927479,47927991
1,9758201,9758713
1,106154610,106155122
1,147035857,147036369
1,224886888,224887400
1,110514431,110514943
1,76083745,76084257
1,146801612,146802124
1,241160806,241161318
1,8464703,8465215
1,204359369,204359881
1,152835167,152835679
1,24525338,24525850
1,78743259,78743771
1,29089896,29090408
1,137860332,137860844
1,157066569,157067081
1,6013175,6013687
1,71175742,71176254
1,160166184,160166696
1,176623513,176624025
1,213154939,213155451
1,152974130,152974642
1,229838510,229839022
1,163238894,163239406
1,64782186,64782698
1,197318424,197318936
1,40838967,40839479
1,39899639,39900151
1,78838835,78839347
1,148014451,148014963
1,190586817,190587329
1,148015044,148015556
1,229111255,229111767
1,231928016,231928528
1,201152505,201153017
1,137035992,137036504
1,183126884,183127396
1,26199919,26200431
1,61085617,61086129
1,197161983,197162495
1,150279543,150280055
1,34042863,34043375
1,33044001,33044513
1,26202912,26203424
1,229763041,229763553
1,232268424,232268936
1,132390886,132391398
1,228603574,228604086
1,2429394,2429906
1,134124385,134124897
1,87329179,87329691
1,98594632,98595144
1,187227551,187228063
1,44637532,44638044
1,142611467,142611979
1,26046974,26047486
1,33957220,33957732
1,73177488,73178000
1,132398926,132399438
1,164030449,164030961
1,1753544,1754056
1,85423525,85424037
1,182437571,182438083
1,44361341,44361853
1,8840501,8841013
1,210136560,210137072
1,200956991,200957503
1,35710932,35711444
1,67445156,67445668
1,179423229,179423741
1,61732578,61733090
1,35085281,35085793
1,221747727,221748239
1,55049571,55050083
1,192046505,192047017
1,45993963,45994475
1,209302563,209303075
1,1396051,1396563
1,61570846,61571358
1,208372466,208372978
1,216431159,216431671
1,241339972,241340484
1,182901761,182902273
1,127881251,127881763
1,91195926,91196438
1,130594768,130595280
1,129781437,129781949
1,221582537,221583049
1,151404578,151405090
1,147411328,147411840
1,91842217,91842729
1,45078983,45079495
1,61132744,61133256
1,1673371,1673883
1,78951945,78952457
1,85579352,85579864
1,93895807,93896319
1,220995677,220996189
1,11580483,11580995
1,192503755,192504267
1,112379811,112380323
1,90863934,90864446
1,206891081,206891593
1,51123911,51124423
1,10170088,10170600
1,191409451,191409963
1,116725306,116725818
1,154865911,154866423
1,133469941,133470453
1,73689619,73690131
1,149081837,149082349
1,119505593,119506105
1,148811340,148811852
1,67665056,67665568
1,3997392,3997904
1,84473318,84473830
1,10543846,10544358
1,120687423,120687935
1,117064332,117064844
1,209228359,209228871
1,174193773,174194285
1,206205222,206205734
1,112121934,112122446
1,12094136,12094648
1,6652821,6653333
1,121921324,121921836
1,157440924,157441436
1,106185565,106186077
1,240375152,240375664
1,156470794,156471306
1,63642405,63642917
1,121929580,121930092
1,212917438,212917950
1,246580641,246581153
1,115752355,115752867
1,231651264,231651776
1,99170508,99171020
1,223316694,223317206
1,91091872,91092384
1,72418883,72419395
1,177998284,177998796
1,225699920,225700432
1,31766166,31766678
1,27921379,27921891
1,197737738,197738250
1,122456934,122457446
1,56375727,56376239
1,225919972,225920484
1,240960828,240961340
1,112500473,112500985
1,170568695,170569207
1,52238006,52238518
1,213585070,213585582
1,114774596,114775108
1,205103046,205103558
1,202660539,202661051
1,242905581,242906093
1,100052871,100053383
1,85291626,85292138
1,82476372,82476884
1,182304304,182304816
1,78559538,78560050
1,21221949,21222461
1,165952738,165953250
1,67248944,67249456
1,44047768,44048280
1,159003860,159004372
1,219975877,219976389
1,233415522,233416034
1,65464095,65464607
1,75399009,75399521
1,41316328,41316840
1,84333945,84334457
1,79807141,79807653
1,99583409,99583921
1,65281524,65282036
1,46571233,46571745
1,201796699,201797211
1,173038819,173039331
1,5134937,5135449
1,93815087,93815599
1,52419194,52419706
1,91035146,91035658
1,112303521,112304033
1,68487115,68487627
1,134702203,134702715
1,228863555,228864067
1,104755014,104755526
1,218188371,218188883
1,225054156,225054668
1,191711029,191711541
1,138730354,138730866
1,126587623,126588135
1,227656119,227656631
1,72203136,72203648
1,138564738,138565250
1,161616170,161616682
1,202765115,202765627
1,14382994,14383506
1,20099425,20099937
1,194089216,194089728
1,222789970,222790482
1,172224273,172224785
1,8352204,8352716
1,214942207,214942719
1,20009585,20010097
1,39127669,39128181
1,75025164,75025676
1,191265977,191266489
1,19886675,19887187
1,163131484,163131996
1,238045465,238045977
1,174420773,174421285
1,125875497,125876009
1,17212918,17213430
1,83930491,83931003
1,23977891,23978403
1,34144862,34145374
1,170484614,170485126
1,201743395,201743907
1,196867772,196868284
1,16448953,16449465
1,126292231,126292743
1,74675537,74676049
1,210926066,210926578
1,74123228,74123740
1,37396664,37397176
1,202022145,202022657
1,195037851,195038363
1,233510218,233510730
1,185099680,185100192
1,206457466,206457978
1,165840555,165841067
1,241063887,241064399
1,228204714,228205226
1,194604915,194605427
1,84977036,84977548
1,147823766,147824278
1,245991306,245991818
1,61062170,61062682
1,174289185,174289697
1,46280965,46281477
1,136953201,136953713
1,118876857,118877369
1,57480668,57481180
1,95313901,95314413
1,94873323,94873835
1,7883849,7884361
1,81848035,81848547
1,147659635,147660147
1,162855153,162855665
1,184922016,184922528
1,117935787,117936299
1,239178277,239178789
1,129513189,129513701
1,191758664,191759176
1,202502176,202502688
1,75302560,75303072
1,51024900,51025412
1,76405587,76406099
1,33492272,33492784
1,132672797,132673309
1,36073105,36073617
1,107644353,107644865
1,134221262,134221774
1,108214128,108214640
1,81531187,81531699
1,202116322,202116834
1,195722747,195723259
1,49457137,49457649
1,71916216,71916728
1,5369848,5370360
1,246162254,246162766
1,1545847,1546359
1,167706052,167706564
1,239805014,239805526
1,21611108,21611620
1,24600984,24601496
1,98007439,98007951
1,215177632,215178144
1,203171934,203172446
1,178908840,178909352
1,194103278,194103790
1,18926286,18926798
1,203994214,203994726
1,193100150,193100662
1,245085168,245085680
1,199889056,199889568
1,17834228,17834740
1,40987458,40987970
1,171570141,171570653
1,78883941,78884453
1,78030227,78030739
1,53468445,53468957
1,111587037,111587549
1,157647929,157648441
1,129695729,129696241
1,227369749,227370261
1,163032595,163033107
1,39478451,39478963
1,109868683,109869195
1,246244581,246245093
1,55652604,55653116
1,210417669,210418181
1,32056172,32056684
1,223502633,223503145
1,19830233,19830745
1,110391703,110392215
1,189512110,189512622
1,125728447,125728959
1,152046707,152047219
1,238086227,238086739
1,51353697,51354209
1,14784377,14784889
1,55894309,55894821
1,160465208,160465720
1,204079621,204080133
1,157168323,157168835
1,113868169,113868681
1,26460848,26461360
1,84584318,84584830
1,63917814,63918326
1,48733981,48734493
1,159257819,159258331
1,18042911,18043423
1,48103704,48104216
1,30525522,30526034
1,75358638,75359150
1,36326872,36327384
1,206212950,206213462
1,224534812,224535324
1,105466174,105466686
1,66306670,66307182
1,65512940,65513452
1,166920268,166920780
1,179431233,179431745
1,204450231,204450743
1,25130349,25130861
1,129684111,129684623
1,138330091,138330603
1,156200063,156200575
1,220183200,220183712
1,77601066,77601578
1,220187161,220187673
1,120343251,120343763
1,66210119,66210631
1,92912472,92912984
1,12077568,12078080
1,31598963,31599475
1,116635299,116635811
1,240114264,240114776
1,1952407,1952919
1,238292938,238293450
1,65948970,65949482
1,243891883,243892395
1,179372635,179373147
1,47103461,47103973
1,135508746,135509258
1,99997678,99998190
1,145158825,145159337
1,141615458,141615970
1,185165008,185165520
1,38755412,38755924
1,36920575,36921087
1,58754672,58755184
1,171536314,171536826
