chrom,start,end,label
1,181232371,181233395,0
18,61779692,61780716,0
4,160921570,160922594,0
10,131651905,131652929,0
4,31438577,31439601,0
2,139929915,139930939,0
8,26661394,26662418,0
15,85848625,85849649,0
8,74582404,74583428,0
11,21636671,21637695,0
4,29494091,29495115,0
9,25617274,25618298,0
9,31119774,31120798,0
4,114784907,114785931,0
4,12441443,12442467,0
14,96574242,96575266,0
5,100194984,100196008,0
3,95475492,95476516,0
6,91958313,91959337,0
8,71632930,71633954,0
6,32560516,32561540,0
3,100596507,100597531,0
1,195133983,195135007,0
10,5144306,5145330,0
4,189152980,189154004,0
6,92463790,92464814,0
8,43845320,43846344,0
12,74941247,74942271,0
15,20360894,20361918,0
3,159618723,159619747,0
13,82559497,82560521,0
6,125674357,125675381,0
12,130902000,130903024,0
X,146042763,146043787,0
8,6794374,6795398,0
4,132425780,132426804,0
6,52498046,52499070,0
6,94520073,94521097,0
16,66296236,66297260,0
3,175830346,175831370,0
13,31383679,31384703,0
9,79334087,79335111,0
9,127990886,127991910,0
8,116612788,116613812,0
6,132767266,132768290,0
4,177708244,177709268,0
6,15988400,15989424,0
X,142743925,142744949,0
10,37632476,37633500,0
8,110739674,110740698,0
7,25084168,25085192,0
5,142017218,142018242,0
3,110593282,110594306,0
7,24477026,24478050,0
2,105489980,105491004,0
1,211857566,211858590,0
20,54984478,54985502,0
5,14071368,14072392,0
3,22832226,22833250,0
11,55730974,55731998,0
5,115049832,115050856,0
2,138106720,138107744,0
20,24694076,24695100,0
X,43065116,43066140,0
4,74495723,74496747,0
2,57255476,57256500,0
4,60029435,60030459,0
2,146003582,146004606,0
17,81554155,81555179,0
4,166591499,166592523,0
9,92796381,92797405,0
6,163668812,163669836,0
6,117000220,117001244,0
13,85959088,85960112,0
6,164876503,164877527,0
8,26163628,26164652,0
5,145257708,145258732,0
20,55040389,55041413,0
5,86281613,86282637,0
10,132504380,132505404,0
18,72912927,72913951,0
16,66114948,66115972,0
10,121289750,121290774,0
1,231474776,231475800,0
21,12968066,12969090,0
5,8791300,8792324,0
1,16606099,16607123,0
19,7775424,7776448,0
1,175037611,175038635,0
1,25605820,25606844,0
14,106681417,106682441,0
1,158213805,158214829,0
19,21708222,21709246,0
7,65034410,65035434,0
13,86638399,86639423,0
9,89536336,89537360,0
1,4260147,4261171,0
14,21902039,21903063,0
18,9878896,9879920,0
2,35412000,35413024,0
7,145433942,145434966,0
12,73713654,73714678,0
2,120391389,120392413,0
9,108191815,108192839,0
20,7596410,7597434,0
11,5964320,5965344,0
2,7248256,7249280,0
11,124727148,124728172,0
6,9439590,9440614,0
8,56794347,56795371,0
7,150543696,150544720,0
4,3906453,3907477,0
6,115417841,115418865,0
4,122148684,122149708,0
6,73684717,73685741,0
18,59404021,59405045,0
9,14526118,14527142,0
2,57253583,57254607,0
16,56951893,56952917,0
11,112388085,112389109,0
9,4901564,4902588,0
10,4539899,4540923,0
20,4304991,4306015,0
4,72924642,72925666,0
11,15864057,15865081,0
X,81549102,81550126,0
1,103293336,103294360,0
1,143257929,143258953,0
5,85469043,85470067,0
14,101552626,101553650,0
10,128645968,128646992,0
16,49073513,49074537,0
2,145951625,145952649,0
6,882279,883303,0
5,51706051,51707075,0
